Path object_type object_name object_size parant_directory
N:\GEEKBRAINS\Python\hw Directory HW_Python 454657 hw
N:\GEEKBRAINS\Python\hw\HW_Python\ File README.md 11 
N:\GEEKBRAINS\Python\hw\HW_Python\.git Directory refs 2334 .git
N:\GEEKBRAINS\Python\hw\HW_Python\.git\hooks File update.sample 3650 hooks
N:\GEEKBRAINS\Python\hw\HW_Python\.git\info File exclude 240 info
N:\GEEKBRAINS\Python\hw\HW_Python\.git\logs Directory refs 17210 logs
N:\GEEKBRAINS\Python\hw\HW_Python\.git\logs\refs Directory remotes 5544 refs
N:\GEEKBRAINS\Python\hw\HW_Python\.git\logs\refs\heads File main 190 heads
N:\GEEKBRAINS\Python\hw\HW_Python\.git\logs\refs\remotes Directory origin 2772 remotes
N:\GEEKBRAINS\Python\hw\HW_Python\.git\logs\refs\remotes\origin File main 154 origin
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects Directory pack 3324 objects
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\05 File f2133030a276b52c4752812ab9a75f30560415 165 05
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\07 File 41b2909f2794b48a5ad606d02e4c3f59cf6acf 195 07
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\0e File 29f0bf9e0b2a4538236d21bd404d0622825ac0 162 0e
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\11 File f99aa1c5d5a41dae8e7e0751f2d494f16f58be 119 11
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\14 File 989f26c4f33a81a9a4ed958cabd5465ed1d9a0 596 14
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\19 File 240456ff32e62a7bc2adaf282ae068e74a9c4c 119 19
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\1f File e69b773037196e5cc29e3ec97dff114c5c32a1 375 1f
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\20 File bda8a55a798d589c0a93738a2755e5cf18265f 320 20
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\29 File decb7ef533f4d58c0781d32ab1297b5349bd1c 144 29
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\2b File 07ae5a40fcafa6c01fc46074673d19386c9184 122 2b
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\44 File 6d81ad334f337a8c4f5f5d17cefdfc4d44ecf9 50 44
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\4a File 4f2fe08582d7e8ee361174856b472e0a1a6ed8 1010 4a
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\4b File 152d00ade5a16e13eb38c5121d971459b0cb31 108 4b
N:\GEEKBRAINS\Python\hw\HW_Python\.git\objects\57 File 69bf1218b76d8b787667f98831706487db6d1a 169 57
